Index,Test 0,Test 1,Test 2,Test 3
134,5.244444,5.489655,5.553741,5.57971
135,5.227941,5.488532,5.555707,5.581081
136,5.211679,5.491991,5.554953,5.581485
137,5.202899,5.497717,5.555555,5.579961
138,5.208633,5.507973,5.554804,5.577478
139,5.214286,5.520454,5.554054,5.575
140,5.219858,5.530612,5.551957,5.573487
141,5.225352,5.540724,5.551213,5.571977
142,5.230769,5.548533,5.5572,5.569511
143,5.229167,5.556306,5.563172,5.568007
144,5.22069,5.561798,5.569128,5.569378
145,5.219178,5.567265,5.575067,5.571702
146,5.210885,5.568233,5.579652,5.574976
147,5.202703,5.569196,5.582888,5.579198
148,5.201342,5.570156,5.58478,5.58532
149,5.206666,5.571111,5.585333,5.590476
150,5.211921,5.572062,5.585886,5.595623
151,5.210526,5.573009,5.585106,5.60076
152,5.20915,5.571744,5.585658,5.603989
153,5.207792,5.570485,5.583554,5.604364
154,5.212903,5.567033,5.580132,5.603791
155,5.217949,5.563597,5.57672,5.600379
156,5.2293,5.555799,5.573316,5.596026
157,5.246835,5.548035,5.568602,5.591682
158,5.264151,5.542484,5.565217,5.586402
159,5.26875,5.536956,5.563158,5.582076
160,5.267081,5.531453,5.565046,5.578699
161,5.265432,5.528139,5.569554,5.577213
162,5.257668,5.529158,5.57536,5.579492
163,5.25,5.530172,5.579843,5.582707
164,5.248485,5.531183,5.581699,5.586854
165,5.253012,5.532189,5.582245,5.590056
166,5.263473,5.533191,5.581486,5.592315
167,5.273809,5.534188,5.580729,5.593633
168,5.284024,5.533049,5.579974,5.594949
169,5.288235,5.531915,5.583117,5.596262
170,5.292397,5.530786,5.583658,5.596639
171,5.296512,5.527543,5.584197,5.596082
172,5.300578,5.520084,5.584735,5.594594
173,5.298851,5.512658,5.583979,5.59311
174,5.291429,5.509474,5.583226,5.591628
175,5.278409,5.510504,5.581185,5.592008
176,5.265537,5.513627,5.577864,5.591458
177,5.241573,5.516737,5.57455,5.589054
178,5.223464,5.521921,5.571245,5.588508
179,5.216667,5.529167,5.567949,5.587037
180,5.21547,5.536383,5.564661,5.586494
181,5.21978,5.543569,5.56266,5.587801
182,5.229508,5.546584,5.559387,5.590951
183,5.23913,5.547521,5.557398,5.593174
184,5.254054,5.546392,5.555414,5.596313
185,5.258065,5.545268,5.553435,5.599448
186,5.26738,5.544148,5.551461,5.599816
187,5.276596,5.540984,5.550761,5.600184
188,5.280423,5.537832,5.5564,5.599633
189,5.284211,5.534694,5.56076,5.597248
190,5.277487,5.531568,5.567636,5.594867
191,5.270833,5.526423,5.573232,5.592491
192,5.253886,5.51927,5.576293,5.589204
193,5.231959,5.512146,5.579345,5.585009
194,5.210257,5.505051,5.579874,5.582648
195,5.198979,5.5,5.579146,5.582117
196,5.187817,5.49497,5.577164,5.584321
197,5.176768,5.491968,5.573935,5.587432
198,5.170854,5.492986,5.570714,5.590537
199,5.175,5.498,5.56875,5.594545
200,5.189054,5.50499,5.566792,5.598547
201,5.207921,5.513944,5.567332,5.601634
202,5.231527,5.522863,5.567871,5.602901
203,5.259804,5.527778,5.568408,5.602355
204,5.282927,5.528713,5.568944,5.60181
205,5.300971,5.529644,5.57196,5.60217
206,5.309179,5.5286,5.577447,5.60253
207,5.3125,5.529528,5.584158,5.601985
208,5.30622,5.526523,5.590853,5.601443
209,5.295238,5.521569,5.596296,5.599099
210,5.28436,5.514677,5.598027,5.59766
211,5.278302,5.507813,5.597291,5.598022
212,5.2723,5.506823,5.596556,5.60018
213,5.261682,5.513618,5.595823,5.602334
214,5.260465,5.526214,5.593865,5.604484
215,5.259259,5.532946,5.591912,5.606631
216,5.258065,5.539652,5.588739,5.609669
217,5.256881,5.546332,5.586797,5.611807
218,5.260274,5.55106,5.584859,5.613941
219,5.272727,5.553846,5.584146,5.616071
220,5.298643,5.556622,5.583435,5.616414
221,5.324324,5.555555,5.583941,5.616756
222,5.349776,5.550669,5.583232,5.617097
223,5.379464,5.543893,5.581311,5.617438
224,5.408889,5.539048,5.579394,5.617778
225,5.429204,5.536122,5.579903,5.616341
226,5.440529,5.537002,5.580411,5.614019
227,5.447369,5.537879,5.580918,5.610816
228,5.449782,5.538753,5.580217,5.608503
229,5.452174,5.539623,5.579518,5.606194
230,5.454545,5.54049,5.578821,5.605659
231,5.448276,5.541353,5.580529,5.606891
232,5.433476,5.542214,5.579832,5.609003
233,5.418803,5.541199,5.577938,5.611993
234,5.4,5.538318,5.57485,5.614978
235,5.385593,5.535448,5.57177,5.617958
236,5.367089,5.530726,5.567503,5.620932
237,5.357143,5.526022,5.564439,5.623023
238,5.347281,5.521336,5.564958,5.624232
239,5.345833,5.516667,5.567857,5.623684
240,5.352697,5.515712,5.56956,5.623137
241,5.359504,5.51845,5.571259,5.620841
242,5.37037,5.521179,5.572954,5.617673
243,5.393443,5.525735,5.574645,5.614511
244,5.412245,5.52844,5.576331,5.611354
245,5.422764,5.529304,5.57565,5.609075
246,5.42915,5.530165,5.574971,5.609416
247,5.431452,5.527372,5.574293,5.610627
248,5.437751,5.52459,5.573616,5.613577
249,5.444,5.521818,5.572941,5.615652
250,5.450199,5.517241,5.574618,5.616855
251,5.452381,5.51087,5.575118,5.619792
252,5.450593,5.506329,5.574443,5.622723
253,5.444882,5.5,5.576112,5.624784
254,5.431373,5.495495,5.577778,5.62684
255,5.414063,5.494604,5.581776,5.628028
256,5.40856,5.493716,5.584598,5.626621
257,5.406977,5.492832,5.587412,5.624352
258,5.405406,5.493739,5.590221,5.621225
259,5.407692,5.492857,5.593023,5.618966
260,5.409962,5.495543,5.595819,5.615849
261,5.408397,5.49822,5.598608,5.612737
262,5.414449,5.500888,5.600232,5.60877
263,5.420455,5.503546,5.599537,5.604811
264,5.430189,5.506195,5.597688,5.601717
265,5.43609,5.507067,5.595843,5.599485
266,5.441947,5.506173,5.594002,5.598972
267,5.447761,5.505282,5.593318,5.599315
268,5.453532,5.502636,5.593786,5.599658
269,5.455555,5.501754,5.593103,5.600855
270,5.457564,5.500875,5.595867,5.602049
271,5.459559,5.501748,5.597477,5.603242
272,5.457875,5.502618,5.599083,5.604433
273,5.445255,5.505227,5.599542,5.60477
274,5.436364,5.506087,5.598857,5.604255
275,5.42029,5.503472,5.599315,5.602891
276,5.404332,5.500866,5.598632,5.60068
277,5.392087,5.50173,5.601367,5.597623
278,5.387097,5.502591,5.604095,5.594572
279,5.389286,5.501724,5.605682,5.592373
280,5.391459,5.499139,5.607265,5.591871
281,5.404255,5.5,5.60771,5.593909
282,5.424028,5.499142,5.608154,5.595942
283,5.440141,5.498288,5.606335,5.597973
284,5.456141,5.500854,5.60339,5.600844
285,5.465035,5.503413,5.60158,5.602867
286,5.473867,5.507666,5.599774,5.605729
287,5.475695,5.511905,5.595721,5.607744
288,5.474049,5.514431,5.591676,5.609756
289,5.465517,5.516949,5.586517,5.610924
290,5.457045,5.517766,5.581369,5.611251
291,5.44863,5.516892,5.576233,5.60906
292,5.440273,5.517706,5.571109,5.60855
293,5.431973,5.518518,5.565996,5.608878
294,5.423729,5.517647,5.562011,5.608368
295,5.418919,5.5151,5.559152,5.608696
296,5.410774,5.509212,5.557414,5.609023
297,5.402685,5.503345,5.556793,5.608514
298,5.397993,5.499165,5.559511,5.607172
299,5.393333,5.496666,5.563334,5.608333
300,5.395349,5.494176,5.567148,5.608659
