Index,Test 0,Test 1,Test 2,Test 3
1,1.5,5.403974,5.496678,5.569845
2,2,5.409241,5.502488,5.571429
3,2.25,5.414474,5.506622,5.573009
4,2.4,5.419672,5.509091,5.572376
5,2.5,5.424837,5.511551,5.57064
6,2.571429,5.423453,5.512356,5.567806
7,3,5.422078,5.511513,5.563877
8,3.555556,5.420712,5.512315,5.558856
9,4,5.416129,5.513115,5.554945
10,4.363636,5.414791,5.510638,5.553238
11,4.666667,5.419872,5.503268,5.554824
12,4.769231,5.428115,5.49429,5.557503
13,4.785714,5.43949,5.485342,5.559081
14,4.8,5.447619,5.479675,5.561749
15,4.6875,5.458861,5.475649,5.564411
16,4.588235,5.470032,5.473258,5.565976
17,4.5,5.481132,5.477346,5.567538
18,4.31579,5.489028,5.481421,5.569097
19,4.1,5.490625,5.485484,5.570652
20,3.952381,5.489097,5.492754,5.571118
21,3.818182,5.490683,5.5,5.569414
22,3.73913,5.49226,5.507223,5.56663
23,3.708333,5.490741,5.511218,5.56277
24,3.72,5.486154,5.5152,5.558919
25,3.769231,5.478528,5.514377,5.556156
26,3.851852,5.470948,5.513556,5.553398
27,3.928571,5.466464,5.511147,5.550647
28,4.034483,5.465045,5.507154,5.548977
29,4.2,5.466667,5.5,5.548387
30,4.387097,5.471299,5.492868,5.547798
31,4.5,5.475904,5.487342,5.548283
32,4.575758,5.483483,5.484992,5.548768
33,4.617647,5.488024,5.484227,5.550321
34,4.6,5.492537,5.483465,5.551872
35,4.583333,5.497024,5.487422,5.553419
36,4.540541,5.492581,5.491366,5.55603
37,4.5,5.488166,5.496865,5.55757
38,4.435897,5.483776,5.503912,5.559105
39,4.45,5.485294,5.510938,5.560638
40,4.536585,5.483871,5.517941,5.561105
41,4.619048,5.48538,5.52648,5.56051
42,4.72093,5.48688,5.534992,5.559915
43,4.840909,5.491279,5.543478,5.559322
44,4.933333,5.492754,5.548837,5.557672
45,4.978261,5.49422,5.549536,5.554968
46,5.021276,5.492795,5.547141,5.55227
47,5.041667,5.488506,5.544753,5.551688
48,5.061224,5.487106,5.540832,5.550053
49,5.08,5.485714,5.535385,5.549474
50,5.098039,5.481482,5.53149,5.549947
51,5.096154,5.477273,5.529141,5.551471
52,5.075472,5.475921,5.525268,5.555089
53,5,5.477401,5.524465,5.5587
54,4.927273,5.48169,5.525191,5.562304
55,4.910714,5.483146,5.527439,5.564854
56,4.894737,5.487395,5.52968,5.565308
57,4.931035,5.488827,5.533435,5.564718
58,4.966102,5.490251,5.537178,5.564129
59,5.016667,5.5,5.537879,5.5625
60,5.065574,5.504155,5.538578,5.560874
61,5.145161,5.502762,5.539275,5.560291
62,5.222222,5.498622,5.53997,5.560748
63,5.265625,5.494505,5.540663,5.561203
64,5.292308,5.487671,5.53985,5.560622
65,5.30303,5.483606,5.537538,5.559006
66,5.298508,5.476839,5.536732,5.55636
67,5.294117,5.475543,5.535928,5.553719
68,5.304348,5.479675,5.532137,5.552115
69,5.314286,5.486486,5.528358,5.551547
70,5.309859,5.493261,5.526081,5.550978
71,5.305555,5.5,5.522321,5.55144
72,5.287671,5.506702,5.52006,5.551901
73,5.27027,5.513369,5.519288,5.551335
74,5.253334,5.514667,5.518518,5.548718
75,5.25,5.513298,5.517752,5.546106
76,5.272727,5.509284,5.514032,5.542477
77,5.307693,5.505291,5.510324,5.5409
78,5.35443,5.506596,5.506628,5.540347
79,5.4,5.505263,5.505882,5.539796
80,5.419753,5.503937,5.509545,5.541285
81,5.426829,5.502618,5.513196,5.544806
82,5.421687,5.501306,5.516838,5.549339
83,5.416667,5.502604,5.520468,5.554878
84,5.4,5.506494,5.522628,5.559391
85,5.372093,5.510363,5.523324,5.562881
86,5.333333,5.514212,5.522562,5.56535
87,5.295455,5.520618,5.520349,5.567814
88,5.258427,5.524422,5.519594,5.56724
89,5.233333,5.528205,5.521739,5.567677
90,5.21978,5.529412,5.525326,5.569122
91,5.228261,5.530612,5.531792,5.570565
92,5.247312,5.524173,5.538239,5.56999
93,5.287234,5.517766,5.543228,5.567404
94,5.336842,5.511393,5.546762,5.563819
95,5.385417,5.505051,5.550287,5.560241
96,5.42268,5.501259,5.553802,5.55667
97,5.438776,5.502512,5.557307,5.554108
98,5.454545,5.506266,5.55794,5.552553
99,5.48,5.5125,5.558571,5.551
100,5.475247,5.51621,5.557775,5.551448
101,5.460784,5.5199,5.555555,5.553892
102,5.436893,5.523573,5.550498,5.555334
103,5.403846,5.527228,5.544034,5.558765
104,5.371428,5.528395,5.539007,5.563184
105,5.349057,5.527093,5.533994,5.565607
106,5.336449,5.525798,5.528996,5.567031
107,5.342593,5.526961,5.526836,5.566468
108,5.348624,5.525672,5.527503,5.564916
109,5.354546,5.521951,5.528169,5.563366
110,5.36036,5.520681,5.534459,5.56182
111,5.366071,5.514563,5.54073,5.560277
112,5.371681,5.510896,5.545582,5.558736
113,5.368421,5.504831,5.547619,5.558186
114,5.365217,5.496386,5.54965,5.557635
115,5.353448,5.487981,5.551676,5.556102
116,5.333333,5.479616,5.553696,5.556539
117,5.305085,5.476077,5.55571,5.556974
118,5.268908,5.477327,5.554937,5.557409
119,5.25,5.485714,5.551389,5.558824
120,5.239669,5.494062,5.546463,5.558276
121,5.245902,5.50237,5.542936,5.55773
122,5.252033,5.510638,5.538036,5.557185
123,5.266129,5.518868,5.533149,5.556641
124,5.272,5.522353,5.533793,5.558049
125,5.277778,5.521127,5.533058,5.558479
126,5.283464,5.517564,5.532325,5.557936
127,5.28125,5.511682,5.531593,5.557393
128,5.27907,5.505827,5.534979,5.559767
129,5.276923,5.5,5.539726,5.564078
130,5.282443,5.4942,5.54446,5.56838
131,5.287879,5.493055,5.546448,5.572674
132,5.278195,5.491917,5.549795,5.575992
133,5.261194,5.490783,5.551771,5.578337
