Index,Test 0,Test 1,Test 2,Test 3
1,1.5,5.225165,5.519934,5.468958
2,2,5.214521,5.522388,5.468439
3,2.25,5.213816,5.524835,5.470133
4,2.2,5.213115,5.527273,5.474033
5,2.166667,5.215686,5.528053,5.480133
6,2.142857,5.214984,5.527183,5.487321
7,2.25,5.217533,5.526316,5.494493
8,2.444444,5.216828,5.525452,5.50055
9,2.6,5.216129,5.52459,5.505495
10,2.909091,5.215434,5.525368,5.508233
11,3.333333,5.211538,5.526144,5.508772
12,3.692308,5.207668,5.526917,5.507119
13,3.857143,5.213376,5.527687,5.504376
14,3.933333,5.219048,5.526829,5.501639
15,4,5.221519,5.524351,5.498909
16,4,5.22082,5.52188,5.497274
17,4.055555,5.22327,5.521036,5.495643
18,4.052631,5.225705,5.52181,5.494015
19,4.05,5.23125,5.522581,5.492391
20,4.095238,5.23676,5.523349,5.491857
21,4.227273,5.242236,5.522508,5.492408
22,4.304348,5.244582,5.521669,5.492958
23,4.375,5.246913,5.520833,5.493506
24,4.4,5.243077,5.52,5.494054
25,4.423077,5.239264,5.520767,5.492441
26,4.481482,5.235474,5.521531,5.49083
27,4.535714,5.231707,5.522293,5.488147
28,4.586207,5.231003,5.519873,5.486545
29,4.633333,5.236363,5.520635,5.483871
30,4.645161,5.241692,5.521395,5.481203
31,4.625,5.253012,5.525316,5.482832
32,4.606061,5.273273,5.530806,5.483387
33,4.617647,5.296407,5.5347,5.48394
34,4.685714,5.316418,5.537008,5.483422
35,4.75,5.336309,5.537736,5.485043
36,4.810811,5.356083,5.538462,5.485592
37,4.868421,5.37574,5.537618,5.485075
38,4.923077,5.39233,5.533646,5.483493
39,4.975,5.402941,5.53125,5.481915
40,5,5.407625,5.528861,5.479277
41,5.023809,5.409357,5.524922,5.475584
42,4.976744,5.408163,5.522551,5.472959
43,4.931818,5.409883,5.523292,5.470339
44,4.866667,5.402899,5.52248,5.468783
45,4.782609,5.395954,5.521672,5.46723
46,4.723404,5.386167,5.522411,5.466737
47,4.666667,5.382184,5.524692,5.468354
48,4.632653,5.381089,5.525424,5.469968
49,4.6,5.382857,5.526154,5.472631
50,4.627451,5.384615,5.528418,5.474237
51,4.711538,5.386364,5.529141,5.475841
52,4.811321,5.388102,5.529862,5.47744
53,4.87037,5.387006,5.527523,5.477987
54,4.927273,5.383099,5.525191,5.478534
55,4.946429,5.382022,5.521341,5.47908
56,4.947369,5.378151,5.517504,5.477534
57,4.948276,5.377095,5.513678,5.473904
58,4.949152,5.370473,5.514416,5.471324
59,4.933333,5.366667,5.516667,5.46875
60,4.934426,5.362881,5.517398,5.467222
61,4.967742,5.359116,5.519638,5.468815
62,5,5.352617,5.52187,5.47352
63,4.984375,5.348901,5.527109,5.478216
64,4.953846,5.345205,5.532331,5.481865
65,4.969697,5.34153,5.536036,5.485507
66,5.014925,5.3406,5.538231,5.490176
67,5.073529,5.339674,5.540419,5.493802
68,5.130435,5.336043,5.541106,5.495356
69,5.157143,5.337838,5.540298,5.494845
70,5.169014,5.345014,5.538003,5.492276
71,5.166667,5.354839,5.535714,5.490741
72,5.164383,5.36193,5.530461,5.490236
73,5.162162,5.371658,5.525223,5.49076
74,5.16,5.378667,5.52,5.492308
75,5.131579,5.385638,5.517752,5.493853
76,5.090909,5.387268,5.518464,5.496418
77,5.064103,5.386243,5.516224,5.497955
78,5.075949,5.382586,5.513991,5.499489
79,5.0875,5.378947,5.513235,5.5
80,5.08642,5.377953,5.51395,5.50051
81,5.134146,5.376963,5.514663,5.498981
82,5.168674,5.373368,5.513909,5.498474
83,5.214286,5.367188,5.51462,5.501016
84,5.258823,5.363636,5.515328,5.500508
85,5.302326,5.360104,5.517493,5.5
86,5.344828,5.356589,5.518195,5.497467
87,5.375,5.35567,5.518895,5.494939
88,5.404494,5.349615,5.519594,5.493428
89,5.422222,5.346154,5.518841,5.492929
90,5.428571,5.340153,5.51809,5.491423
91,5.423913,5.336735,5.517341,5.490927
92,5.419355,5.338422,5.516594,5.492447
93,5.404255,5.340102,5.518732,5.49497
94,5.389474,5.344304,5.519424,5.497488
95,5.375,5.348485,5.520115,5.498996
96,5.381444,5.352645,5.5165,5.497492
97,5.418367,5.356784,5.512894,5.495992
98,5.444445,5.358396,5.51073,5.494494
99,5.48,5.3575,5.51,5.496
100,5.504951,5.356608,5.510699,5.5005
101,5.519608,5.353234,5.512821,5.50499
