Index,Test 0,Test 1,Test 2,Test 3
102,5.543689,5.352357,5.513514,5.509471
103,5.548077,5.34901,5.515625,5.513944
104,5.542857,5.345679,5.516312,5.517413
105,5.54717,5.342364,5.516997,5.520875
106,5.542056,5.339067,5.51768,5.52135
107,5.527778,5.335784,5.516949,5.519841
108,5.495413,5.330073,5.51481,5.517344
109,5.481818,5.326829,5.514084,5.514852
110,5.468469,5.326034,5.516174,5.512364
111,5.473214,5.32767,5.51545,5.511858
112,5.486726,5.324455,5.513324,5.51234
113,5.517544,5.321256,5.512605,5.513807
114,5.556522,5.315663,5.513287,5.515271
115,5.594828,5.314904,5.513967,5.517716
116,5.623931,5.321343,5.51325,5.519174
117,5.644068,5.330143,5.512535,5.520628
118,5.647059,5.341289,5.511822,5.521099
119,5.641667,5.354762,5.511111,5.521569
120,5.628099,5.36342,5.510402,5.523016
121,5.614754,5.372038,5.509695,5.524462
122,5.593496,5.378251,5.50899,5.525904
123,5.572581,5.382075,5.506906,5.526367
124,5.552,5.383529,5.508965,5.524878
125,5.531746,5.382629,5.509642,5.523392
126,5.511811,5.381733,5.508941,5.520935
127,5.5,5.380841,5.506868,5.518483
128,5.51938,5.379953,5.506173,5.516035
129,5.553846,5.376744,5.504109,5.513592
130,5.59542,5.368909,5.504788,5.515034
131,5.636364,5.358796,5.504098,5.518411
132,5.676692,5.355658,5.504775,5.522749
133,5.701492,5.357143,5.50545,5.527079
134,5.718519,5.365517,5.507483,5.531401
135,5.705883,5.383028,5.51087,5.534749
136,5.69343,5.400458,5.515604,5.538091
137,5.673913,5.417808,5.51897,5.540462
138,5.654676,5.432802,5.520974,5.54283
139,5.642857,5.443182,5.52027,5.543269
140,5.631206,5.451247,5.520918,5.543708
141,5.62676,5.459276,5.521564,5.544146
142,5.622377,5.465011,5.520861,5.543624
143,5.618055,5.466216,5.516129,5.542146
144,5.606896,5.465168,5.514094,5.54067
145,5.595891,5.464126,5.516086,5.538241
146,5.585034,5.46085,5.52075,5.535817
147,5.574324,5.457589,5.525401,5.532443
148,5.557047,5.449889,5.528705,5.530029
149,5.54,5.442222,5.530667,5.527619
150,5.523179,5.439024,5.532623,5.527117
151,5.506579,5.442478,5.534575,5.528517
152,5.48366,5.448123,5.535192,5.531814
153,5.474026,5.453744,5.535809,5.537002
154,5.458065,5.461538,5.536424,5.541232
155,5.442307,5.471491,5.537037,5.546402
156,5.44586,5.479212,5.536328,5.551561
157,5.455696,5.486899,5.53562,5.555766
158,5.477987,5.492375,5.532279,5.560906
159,5.49375,5.495652,5.531579,5.566038
160,5.509317,5.496746,5.532195,5.570217
161,5.518518,5.497836,5.532808,5.573446
162,5.521472,5.492441,5.533421,5.573848
163,5.52439,5.487069,5.534031,5.574248
164,5.521212,5.483871,5.53464,5.574648
165,5.512048,5.480687,5.533943,5.575047
166,5.491018,5.477516,5.533247,5.574508
167,5.476191,5.474359,5.529948,5.572097
168,5.461538,5.471215,5.525358,5.571562
169,5.447059,5.470213,5.520779,5.571028
170,5.4269,5.473461,5.514915,5.570495
171,5.401163,5.472457,5.510363,5.570896
172,5.375722,5.471459,5.507115,5.571295
173,5.362069,5.470464,5.505168,5.571694
174,5.354286,5.467369,5.509677,5.570232
175,5.369318,5.464286,5.515464,5.568773
176,5.384181,5.461216,5.521235,5.567317
177,5.393259,5.458159,5.526992,5.564935
178,5.396648,5.457202,5.532734,5.565338
179,5.4,5.464583,5.538462,5.566667
180,5.40884,5.476091,5.542894,5.568918
181,5.412088,5.485477,5.548594,5.571165
182,5.420765,5.492754,5.550447,5.573407
183,5.429348,5.495868,5.551021,5.574723
184,5.427027,5.498969,5.550318,5.576037
185,5.419355,5.502058,5.549618,5.576427
186,5.406417,5.50308,5.547649,5.575897
187,5.398936,5.502049,5.545685,5.575367
188,5.391534,5.496933,5.543726,5.573921
189,5.378947,5.487755,5.541772,5.572477
190,5.376963,5.480652,5.541087,5.569202
191,5.380208,5.47561,5.541667,5.565018
192,5.388601,5.472617,5.542244,5.560842
193,5.396907,5.469635,5.542821,5.555758
194,5.410256,5.470707,5.544654,5.551598
195,5.428571,5.475806,5.545226,5.550182
196,5.441624,5.480886,5.544542,5.550592
197,5.449495,5.491968,5.543859,5.552824
198,5.462312,5.498998,5.541927,5.55778
199,5.465,5.504,5.54,5.562727
200,5.457711,5.508982,5.538077,5.566758
201,5.455446,5.50996,5.532419,5.571688
202,5.448276,5.510934,5.526774,5.573889
203,5.441176,5.509921,5.522388,5.57337
204,5.434146,5.504951,5.519255,5.573756
205,5.427185,5.5,5.51861,5.572333
206,5.415459,5.493097,5.519207,5.570009
207,5.403846,5.48622,5.519802,5.566787
208,5.392344,5.477407,5.519159,5.564473
209,5.385714,5.472549,5.519753,5.563063
210,5.379147,5.471624,5.520345,5.561656
211,5.372642,5.472656,5.522168,5.56205
212,5.366197,5.475634,5.525215,5.564241
213,5.35514,5.48249,5.525798,5.567325
214,5.344186,5.48932,5.526381,5.571301
215,5.333333,5.492248,5.526961,5.574373
216,5.317972,5.497098,5.526316,5.575649
217,5.302752,5.501931,5.525672,5.576029
218,5.292237,5.504817,5.522589,5.576407
219,5.286364,5.505769,5.518293,5.575893
220,5.280543,5.504798,5.515225,5.574487
221,5.27027,5.501916,5.512166,5.572193
222,5.273542,5.497132,5.509113,5.569012
223,5.276786,5.490458,5.507282,5.565836
224,5.275556,5.487619,5.506667,5.563556
225,5.261062,5.484791,5.507264,5.561279
226,5.246696,5.483871,5.510278,5.560781
227,5.232456,5.484848,5.514493,5.56117
228,5.21834,5.485822,5.516284,5.562445
229,5.2,5.484906,5.516868,5.563717
230,5.181818,5.483993,5.517449,5.565871
231,5.163793,5.484962,5.516827,5.568021
232,5.158798,5.482176,5.513805,5.570168
233,5.166667,5.483146,5.509593,5.570547
234,5.178723,5.487851,5.505389,5.570044
235,5.18644,5.490672,5.502392,5.568662
236,5.194093,5.49162,5.499403,5.568162
237,5.201681,5.490706,5.49642,5.567663
238,5.209205,5.491651,5.493444,5.566286
239,5.216667,5.490741,5.492857,5.564035
240,5.224066,5.489834,5.492271,5.560912
241,5.235537,5.48524,5.494062,5.557793
242,5.246913,5.478821,5.497035,5.55643
243,5.254098,5.476103,5.501185,5.55507
244,5.261224,5.475229,5.505325,5.553712
245,5.260163,5.472528,5.507092,5.551484
246,5.255061,5.468007,5.507674,5.549259
247,5.241935,5.467153,5.507075,5.547039
248,5.228916,5.468124,5.506478,5.544822
249,5.216,5.469091,5.502353,5.545218
250,5.203187,5.470055,5.497062,5.549088
251,5.190476,5.469203,5.491784,5.554688
252,5.189723,5.468354,5.48769,5.561145
253,5.192914,5.467509,5.483606,5.566724
254,5.196078,5.466667,5.479532,5.571429
255,5.199219,5.467626,5.475467,5.574394
256,5.202334,5.468582,5.471412,5.575627
257,5.205426,5.469534,5.469697,5.576857
258,5.204633,5.472272,5.46915,5.576359
259,5.203846,5.475,5.47093,5.575862
260,5.199234,5.475936,5.473867,5.575366
261,5.20229,5.476868,5.476798,5.574871
262,5.209126,5.48135,5.477405,5.575236
263,5.223485,5.485816,5.476852,5.57646
264,5.241509,5.488495,5.475144,5.577682
265,5.255639,5.487632,5.474596,5.577187
266,5.269663,5.485009,5.474049,5.577549
267,5.279851,5.484155,5.474654,5.577055
268,5.289963,5.479789,5.472958,5.576561
269,5.296296,5.473684,5.471264,5.576068
270,5.298893,5.465849,5.469575,5.575576
271,5.297794,5.458042,5.46789,5.575085
272,5.29304,5.455497,5.466208,5.575448
273,5.291971,5.452961,5.465675,5.574106
274,5.294546,5.455652,5.467429,5.571915
275,5.293478,5.463542,5.472603,5.569728
276,5.285199,5.471404,5.477765,5.566695
277,5.280576,5.480969,5.481777,5.564516
278,5.275986,5.490501,5.484642,5.562341
279,5.271429,5.501724,5.486363,5.561017
280,5.263345,5.51463,5.486947,5.561388
281,5.255319,5.524055,5.485261,5.563452
282,5.24735,5.528302,5.483579,5.566357
283,5.242958,5.530822,5.483032,5.569257
284,5.245614,5.531624,5.482486,5.572152
285,5.251748,5.530717,5.481941,5.573356
286,5.25784,5.529813,5.483653,5.574558
287,5.263889,5.527211,5.484234,5.574916
288,5.269896,5.526316,5.484814,5.574432
289,5.272414,5.525424,5.485393,5.572269
290,5.274914,5.524535,5.485971,5.570109
291,5.273973,5.52027,5.485426,5.567953
292,5.273037,5.514334,5.483763,5.564962
293,5.272109,5.508418,5.480984,5.562814
294,5.271186,5.502521,5.477095,5.562343
295,5.27027,5.501678,5.473214,5.561873
296,5.265993,5.504188,5.470457,5.561403
297,5.2651,5.508361,5.469933,5.560935
298,5.26087,5.512521,5.470523,5.560467
299,5.25,5.515,5.47,5.559166
300,5.23588,5.517471,5.469478,5.557868
