Index,Test 0,Test 1,Test 2,Test 3
147,5.202703,5.662946,5.760695,5.686069
148,5.214765,5.670379,5.75701,5.682555
149,5.22,5.675556,5.756,5.679048
150,5.218543,5.680709,5.754993,5.676498
151,5.217105,5.692478,5.75266,5.674905
152,5.20915,5.706402,5.750332,5.675214
153,5.201299,5.720264,5.751989,5.676471
154,5.187097,5.727472,5.754967,5.676777
155,5.173077,5.732456,5.757936,5.677083
156,5.165605,5.73523,5.762219,5.677389
157,5.170886,5.735808,5.76781,5.676749
158,5.18239,5.732026,5.774704,5.675165
159,5.1875,5.723913,5.781579,5.674528
160,5.192546,5.713666,5.787122,5.674835
161,5.203704,5.705628,5.791338,5.677024
162,5.196319,5.699784,5.794233,5.678269
163,5.182927,5.693965,5.795812,5.679511
164,5.169697,5.688172,5.796078,5.678873
165,5.162651,5.688841,5.795039,5.678236
166,5.167665,5.695931,5.791395,5.677601
167,5.184524,5.707265,5.78776,5.676966
168,5.195266,5.720682,5.785436,5.678204
169,5.194118,5.731915,5.783117,5.679439
170,5.192983,5.740977,5.780804,5.681606
171,5.191861,5.745763,5.775907,5.685634
172,5.184971,5.750528,5.771022,5.689655
173,5.183908,5.753165,5.767442,5.690875
174,5.194286,5.751579,5.766452,5.692093
175,5.210227,5.743698,5.766753,5.693308
176,5.220339,5.737946,5.767053,5.693594
177,5.219101,5.73431,5.769923,5.692022
178,5.21229,5.732777,5.771502,5.688601
179,5.2,5.733333,5.773077,5.684259
180,5.182321,5.733888,5.774648,5.679926
181,5.164835,5.73444,5.773657,5.676525
182,5.147541,5.73499,5.771392,5.676824
183,5.125,5.733471,5.769133,5.679889
184,5.108108,5.731959,5.765605,5.683871
185,5.086021,5.728395,5.762086,5.688766
186,5.069519,5.724846,5.758577,5.692732
187,5.058511,5.719262,5.757614,5.696691
188,5.047619,5.711657,5.754119,5.699725
189,5.057895,5.704082,5.753165,5.702752
190,5.089005,5.698575,5.754741,5.703941
191,5.130208,5.70122,5.757576,5.704213
192,5.165803,5.705883,5.761664,5.703568
193,5.201031,5.708502,5.765743,5.702011
194,5.241025,5.711111,5.769811,5.700457
195,5.280612,5.715726,5.771357,5.698905
196,5.314721,5.720322,5.772898,5.697356
197,5.343434,5.722891,5.77193,5.693989
198,5.351759,5.725451,5.770964,5.693357
199,5.355,5.726,5.7675,5.694545
200,5.358209,5.722555,5.762796,5.698456
201,5.341584,5.719123,5.760599,5.701452
202,5.325123,5.713717,5.757161,5.703536
203,5.313725,5.706349,5.752488,5.70471
204,5.297561,5.70495,5.749068,5.704978
205,5.276699,5.701581,5.74938,5.70434
206,5.256039,5.700197,5.750929,5.703704
207,5.240385,5.700788,5.754951,5.703971
208,5.239234,5.701375,5.756489,5.702435
209,5.242857,5.701961,5.758025,5.7
210,5.246446,5.700587,5.759556,5.69847
211,5.254717,5.701172,5.761084,5.697842
212,5.267606,5.701755,5.762608,5.695418
213,5.275701,5.70428,5.764128,5.692998
214,5.283721,5.704854,5.765644,5.692377
215,5.287037,5.70155,5.765932,5.692652
216,5.290323,5.700193,5.76377,5.693823
217,5.293578,5.694981,5.760391,5.69678
218,5.292237,5.693642,5.759463,5.698838
219,5.281818,5.694231,5.759756,5.701786
220,5.266968,5.694818,5.761267,5.704728
221,5.256757,5.697318,5.761557,5.704991
222,5.251121,5.699809,5.760632,5.703473
223,5.241071,5.700382,5.759709,5.701957
224,5.248889,5.697143,5.758788,5.700444
225,5.261062,5.692015,5.75908,5.70071
226,5.277533,5.686907,5.760581,5.701863
227,5.302631,5.683712,5.763285,5.703014
228,5.323144,5.676749,5.765983,5.704163
229,5.33913,5.671698,5.771084,5.70354
230,5.354979,5.670433,5.776173,5.703802
231,5.362069,5.672932,5.780048,5.704063
232,5.369099,5.679174,5.781513,5.703442
233,5.376069,5.685393,5.781775,5.703704
234,5.378724,5.68972,5.782036,5.702203
235,5.377119,5.69403,5.7811,5.699824
236,5.367089,5.696462,5.778973,5.69657
237,5.357143,5.697026,5.775656,5.692443
238,5.347281,5.697588,5.769964,5.688323
239,5.3375,5.7,5.766667,5.683333
240,5.323651,5.702403,5.762188,5.680105
241,5.318182,5.702952,5.75772,5.677758
242,5.320988,5.699816,5.754448,5.67804
243,5.323771,5.696691,5.75237,5.679196
244,5.35102,5.693578,5.752663,5.68297
245,5.394309,5.686813,5.755319,5.686737
246,5.437247,5.681901,5.757969,5.690497
247,5.471774,5.682482,5.760613,5.694251
248,5.502008,5.684882,5.763251,5.697998
249,5.528,5.687273,5.765882,5.70087
250,5.545817,5.689655,5.766158,5.702867
251,5.563492,5.690217,5.762911,5.703993
252,5.577075,5.688969,5.759672,5.703382
253,5.582677,5.687726,5.757611,5.70104
254,5.57647,5.69009,5.756725,5.699567
255,5.566406,5.692446,5.755841,5.698097
256,5.552529,5.694794,5.754959,5.695765
257,5.534883,5.695341,5.755245,5.692574
258,5.517375,5.695886,5.75553,5.69025
259,5.5,5.694643,5.754651,5.688793
260,5.48659,5.693405,5.751452,5.6882
261,5.480916,5.688612,5.75058,5.689329
262,5.48289,5.683836,5.753187,5.691316
263,5.488636,5.677305,5.756945,5.693299
264,5.494339,5.676106,5.760694,5.695279
265,5.5,5.676679,5.762125,5.69554
266,5.505618,5.677248,5.763553,5.694944
267,5.511194,5.683099,5.761521,5.693493
268,5.516728,5.692443,5.758343,5.692044
269,5.511111,5.701755,5.755172,5.691453
270,5.505535,5.70753,5.753157,5.691717
271,5.492647,5.711538,5.754587,5.692833
272,5.479854,5.713787,5.756014,5.693095
273,5.470803,5.714286,5.756293,5.694208
274,5.461818,5.709565,5.756571,5.693617
275,5.456522,5.706597,5.753425,5.693027
276,5.451263,5.701906,5.749145,5.691589
277,5.446043,5.693772,5.746014,5.691002
278,5.437276,5.683938,5.74289,5.690415
279,5.428571,5.674138,5.740909,5.688983
280,5.419929,5.666093,5.740068,5.687553
281,5.41844,5.666667,5.740363,5.686971
282,5.424028,5.672384,5.740657,5.685545
283,5.429577,5.679794,5.739819,5.684122
284,5.431579,5.688889,5.737853,5.685232
285,5.437063,5.692833,5.734763,5.685497
286,5.445993,5.69506,5.732807,5.689132
287,5.454861,5.697279,5.731982,5.692761
288,5.460207,5.699491,5.732284,5.697225
289,5.462069,5.701695,5.732584,5.70084
290,5.467354,5.702199,5.734007,5.702771
291,5.469178,5.701014,5.736547,5.704698
292,5.47099,5.699831,5.739082,5.705784
293,5.472789,5.69697,5.741611,5.705193
294,5.474576,5.694118,5.744134,5.702929
295,5.476351,5.691275,5.745536,5.699833
296,5.468013,5.688442,5.746934,5.696742
297,5.463087,5.687291,5.747216,5.693656
298,5.458194,5.686143,5.746385,5.692244
299,5.446667,5.685,5.742222,5.690834
300,5.435216,5.682196,5.736959,5.689425
