Index,Test 0,Test 1,Test 2,Test 3,Test 4
119,5.266667,5.271429,5.480556,5.644118,5.606061
120,5.264463,5.266033,5.489598,5.647405,5.606359
121,5.254098,5.258294,5.49723,5.650685,5.606657
122,5.235772,5.252955,5.503458,5.651026,5.606198
123,5.225806,5.254717,5.51105,5.652344,5.60574
124,5.232,5.261177,5.515862,5.652683,5.604528
125,5.238095,5.267606,5.519284,5.650097,5.603318
126,5.251968,5.274004,5.522696,5.646544,5.60211
127,5.273438,5.280374,5.524725,5.642024,5.600904
128,5.302326,5.284382,5.525377,5.63654,5.600451
129,5.323077,5.288372,5.524658,5.632039,5.601504
130,5.343512,5.290023,5.52394,5.628516,5.603306
131,5.363636,5.289352,5.523224,5.625969,5.605856
132,5.37594,5.284065,5.52251,5.623427,5.606902
133,5.373134,5.278802,5.520436,5.62089,5.608696
134,5.362963,5.275862,5.519728,5.619324,5.608989
135,5.352941,5.272936,5.52038,5.619691,5.609282
136,5.328467,5.272311,5.522388,5.622951,5.609574
137,5.304348,5.271689,5.52439,5.629095,5.609118
138,5.28777,5.275627,5.525034,5.635226,5.607916
139,5.271429,5.279545,5.525676,5.641346,5.606717
140,5.262411,5.283447,5.526316,5.647454,5.606264
141,5.260563,5.28733,5.522911,5.652591,5.605812
142,5.272727,5.291196,5.519516,5.656759,5.605361
143,5.284722,5.295045,5.514785,5.659004,5.604911
144,5.317241,5.298876,5.511409,5.660287,5.603717
145,5.349315,5.295964,5.505362,5.660612,5.603269
146,5.367347,5.293065,5.502008,5.660936,5.602821
147,5.391892,5.290179,5.498663,5.659351,5.603116
148,5.416107,5.285078,5.500668,5.656816,5.604893
149,5.44,5.277778,5.502666,5.653333,5.607408
150,5.463576,5.272727,5.503329,5.648906,5.609179
151,5.480263,5.274336,5.505319,5.645437,5.610947
152,5.490196,5.280353,5.505976,5.643875,5.613451
153,5.493506,5.286344,5.505305,5.643264,5.614476
154,5.496774,5.294506,5.504636,5.642654,5.61476
155,5.5,5.302631,5.503968,5.642045,5.613569
156,5.496815,5.31291,5.503303,5.642384,5.61238
157,5.474684,5.320961,5.501319,5.643667,5.611193
158,5.45283,5.324619,5.499341,5.644004,5.608536
159,5.44375,5.326087,5.497368,5.645283,5.605147
160,5.434783,5.32321,5.494087,5.647502,5.601763
161,5.444445,5.318182,5.492126,5.648776,5.599119
162,5.453988,5.311015,5.492792,5.650047,5.59868
163,5.47561,5.303879,5.493455,5.649436,5.599707
164,5.490909,5.292473,5.494118,5.650704,5.601465
165,5.506024,5.283262,5.494778,5.651032,5.603221
166,5.51497,5.278373,5.494133,5.651359,5.605706
167,5.523809,5.275641,5.492188,5.649813,5.607456
168,5.526627,5.272921,5.492848,5.647334,5.609204
169,5.52353,5.27234,5.494805,5.646729,5.610949
170,5.520468,5.276009,5.499352,5.646125,5.612691
171,5.517442,5.288136,5.501296,5.645523,5.612974
172,5.514451,5.302326,5.503234,5.644921,5.613256
173,5.505747,5.316456,5.505168,5.645251,5.612809
174,5.491428,5.332632,5.503226,5.645581,5.612364
175,5.482955,5.342437,5.5,5.644052,5.610465
176,5.468926,5.350105,5.498069,5.642526,5.609295
177,5.460674,5.355649,5.496144,5.641002,5.608128
178,5.458101,5.356994,5.492939,5.637628,5.606236
179,5.461111,5.35625,5.489744,5.634259,5.604348
180,5.464088,5.357588,5.489117,5.630898,5.602462
181,5.467033,5.358921,5.493606,5.628466,5.602026
182,5.469945,5.358178,5.499362,5.625115,5.60376
183,5.467391,5.359504,5.505102,5.623616,5.606214
184,5.459459,5.360825,5.510828,5.624885,5.608664
185,5.451613,5.36214,5.515267,5.626151,5.61039
186,5.449198,5.36345,5.519695,5.627415,5.610671
187,5.457447,5.364754,5.524112,5.626838,5.61023
188,5.460318,5.364008,5.52725,5.626263,5.609791
189,5.468421,5.363266,5.527848,5.625688,5.609353
190,5.47644,5.358452,5.527181,5.624198,5.608914
191,5.484375,5.355691,5.52399,5.621795,5.608477
192,5.487047,5.352941,5.520807,5.619396,5.607322
193,5.489691,5.352227,5.516373,5.617002,5.606169
194,5.476923,5.353535,5.51195,5.614612,5.604301
195,5.464286,5.356855,5.507538,5.610402,5.602436
196,5.446701,5.358149,5.503137,5.606199,5.600573
197,5.424242,5.359438,5.5,5.603825,5.597997
198,5.407035,5.358717,5.499374,5.601456,5.595425
199,5.395,5.358,5.5025,5.599091,5.593572
200,5.383085,5.357285,5.505618,5.597639,5.591006
201,5.366337,5.356574,5.508728,5.596189,5.589159
202,5.349754,5.353877,5.50934,5.594742,5.589451
203,5.333333,5.357143,5.50995,5.593297,5.591168
204,5.326829,5.362376,5.511801,5.593665,5.593594
205,5.320388,5.365613,5.512407,5.594033,5.596017
206,5.31401,5.370809,5.510533,5.593496,5.599147
207,5.307693,5.375984,5.508663,5.592058,5.602983
208,5.296651,5.381139,5.505562,5.590622,5.605394
209,5.285714,5.386274,5.503704,5.589189,5.607092
210,5.274881,5.393346,5.503083,5.587759,5.608788
211,5.259434,5.400391,5.503695,5.586331,5.608357
212,5.248827,5.403509,5.506765,5.584007,5.608634
213,5.24299,5.404669,5.511056,5.581687,5.608911
214,5.246511,5.401942,5.516564,5.579372,5.609187
215,5.25,5.397287,5.522059,5.577957,5.608757
216,5.258065,5.390716,5.52754,5.57923,5.608327
217,5.266055,5.382239,5.52934,5.581395,5.607898
218,5.269406,5.375722,5.529914,5.582663,5.60747
219,5.268182,5.369231,5.530488,5.583929,5.608451
220,5.266968,5.366603,5.53106,5.585192,5.60943
221,5.265766,5.365901,5.530414,5.587344,5.611111
222,5.26009,5.367113,5.529769,5.589492,5.614195
223,5.258929,5.370229,5.529126,5.588968,5.617978
224,5.266667,5.371428,5.528485,5.586667,5.621754
225,5.274336,5.374525,5.525424,5.58437,5.625526
226,5.281939,5.377609,5.523579,5.581189,5.627891
227,5.289474,5.380682,5.521739,5.577127,5.628851
228,5.296943,5.383743,5.523522,5.574845,5.629111
229,5.295652,5.386793,5.525301,5.573452,5.629371
230,5.294372,5.387947,5.525872,5.572944,5.628931
231,5.293103,5.383459,5.527644,5.574205,5.627793
232,5.300429,5.378987,5.529412,5.575463,5.625262
233,5.307693,5.372659,5.528777,5.577601,5.623431
234,5.306383,5.366355,5.528144,5.578855,5.6223
235,5.305085,5.360075,5.526316,5.580106,5.620473
236,5.295359,5.351955,5.524492,5.581355,5.620042
237,5.289916,5.345725,5.523866,5.580843,5.620306
238,5.284519,5.343228,5.523242,5.578578,5.62196
239,5.279167,5.340741,5.521429,5.576316,5.623611
240,5.273859,5.340111,5.519619,5.574058,5.627342
241,5.276859,5.339483,5.51544,5.57268,5.630374
242,5.288066,5.344383,5.511269,5.570429,5.633403
243,5.299181,5.352941,5.508294,5.566433,5.635734
244,5.306122,5.361468,5.507692,5.562446,5.638062
245,5.308943,5.369963,5.508274,5.559337,5.639696
246,5.307693,5.3766,5.510036,5.557977,5.640636
247,5.310484,5.383212,5.512972,5.55662,5.641574
248,5.309237,5.3898,5.519434,5.556136,5.641822
249,5.308,5.396364,5.524706,5.556522,5.641379
250,5.302789,5.401089,5.529965,5.557776,5.640248
251,5.297619,5.403986,5.534038,5.559896,5.63843
252,5.29249,5.405063,5.535756,5.56288,5.637302
253,5.287402,5.404332,5.535129,5.565858,5.635489
254,5.278431,5.398198,5.533333,5.568831,5.634364
255,5.28125,5.390288,5.530374,5.570934,5.633242
256,5.287938,5.382406,5.528588,5.573034,5.632807
257,5.294574,5.374552,5.526806,5.573402,5.632373
258,5.297297,5.370304,5.526193,5.572907,5.633996
259,5.296154,5.367857,5.526744,5.572414,5.636302
260,5.295019,5.372549,5.527294,5.572782,5.639288
261,5.29771,5.377224,5.526682,5.57401,5.640903
262,5.304183,5.383659,5.527231,5.575236,5.642515
263,5.299242,5.390071,5.528935,5.57646,5.644809
264,5.298113,5.39646,5.530636,5.576824,5.647781
265,5.304511,5.402827,5.532332,5.575472,5.65075
266,5.310862,5.409171,5.530565,5.574121,5.654397
267,5.317164,5.415493,5.529954,5.571918,5.655994
268,5.32342,5.420035,5.530495,5.568862,5.656229
269,5.325926,5.419298,5.531034,5.565812,5.654422
270,5.328413,5.415061,5.530425,5.562767,5.652617
271,5.330883,5.410839,5.530963,5.559727,5.650136
272,5.333333,5.408377,5.530355,5.557545,5.646979
273,5.335766,5.404181,5.532037,5.558774,5.644505
274,5.334546,5.4,5.537143,5.562553,5.642034
275,5.333333,5.399305,5.542237,5.567177,5.641599
276,5.32852,5.400347,5.54618,5.570943,5.642519
277,5.320144,5.399654,5.551253,5.574703,5.644114
278,5.311828,5.398964,5.555176,5.57676,5.647059
279,5.303571,5.398276,5.559091,5.577119,5.649324
280,5.298933,5.399312,5.560727,5.57663,5.652262
281,5.297873,5.407217,5.562358,5.576142,5.655196
282,5.300354,5.413379,5.562854,5.575655,5.658125
283,5.309859,5.416096,5.562217,5.576858,5.660378
284,5.319298,5.418803,5.561582,5.578059,5.661953
285,5.328671,5.419795,5.559819,5.580945,5.663526
286,5.334495,5.41908,5.555806,5.583825,5.664425
287,5.336805,5.416667,5.552928,5.587542,5.663979
288,5.3391,5.412564,5.550056,5.592094,5.662189
289,5.334483,5.408474,5.548315,5.595798,5.660403
290,5.32646,5.402707,5.547699,5.596977,5.658618
291,5.315069,5.400338,5.548206,5.598155,5.656837
292,5.300341,5.401349,5.549832,5.598491,5.655057
293,5.285714,5.402357,5.552573,5.598827,5.65328
294,5.281356,5.403361,5.55419,5.598326,5.652174
295,5.280406,5.404362,5.555804,5.596154,5.651738
296,5.282828,5.40536,5.558528,5.59482,5.652638
297,5.28859,5.408027,5.561247,5.593489,5.653538
298,5.304348,5.407346,5.562848,5.591326,5.65577
299,5.32,5.403333,5.566667,5.590833,5.656667
